date,portfolio_value,cash,positions_value,daily_return,daily_pnl,cumulative_return,cumulative_pnl,num_positions
2014-01-14,70172.99602441286,56138.39681953029,14034.599204882572,-0.001202571013891698,-84.48961573975976,-0.2982700397558714,-29827.00397558714,2
2014-01-15,70290.71950583838,60731.18165304436,9559.53785279402,0.001677618002579871,117.72348142552073,-0.2970928049416162,-29709.28049416162,2
2014-01-16,70296.89370289538,59506.32051950094,10790.573183394437,8.783801190834726e-05,6.1741970570001286,-0.2970310629710462,-29703.10629710462,2
2014-01-17,70428.25896175721,57652.572786094446,12775.686175662762,0.0018687206780008438,131.3652588618279,-0.29571741038242794,-29571.74103824279,3
2014-01-21,70415.29810007801,53480.418907009254,16934.87919306876,-0.00018402927844962704,-12.96086167919566,-0.2958470189992199,-29584.701899921987,4
2014-01-22,70521.01434361262,55492.98618698877,15028.028156623855,0.0015013249448203887,105.71624353461084,-0.29478985656387374,-29478.985656387376,3
2014-01-23,70459.86147059247,58270.30543617996,12189.556034412512,-0.0008671581597250856,-61.15287302015349,-0.2954013852940753,-29540.13852940753,3
2014-01-24,70330.55919877221,35523.96545129984,34806.593747472376,-0.001835119586123823,-129.30227182025556,-0.29669440801227787,-29669.440801227785,8
2014-01-27,70216.49466824328,32236.392702190493,37980.10196605278,-0.0016218345457279907,-114.0645305289363,-0.2978350533175672,-29783.50533175672,9
2014-01-28,70069.51513066425,31664.413887547205,38405.101243117046,-0.002093233766132468,-146.97953757902724,-0.2993048486933575,-29930.48486933575,8
2014-01-29,70187.13923833624,34946.176626767614,35240.962611568626,0.0016786773456708782,117.6241076719889,-0.2981286076166376,-29812.86076166376,7
2014-01-30,70075.72697605239,44638.23808374537,25437.488892307025,-0.001587360070418631,-111.41226228384767,-0.29924273023947606,-29924.273023947608,6
2014-01-31,70116.98692282921,36979.698903100114,33137.288019729094,0.000588790848947112,41.25994677681592,-0.2988301307717079,-29883.01307717079,7
2014-02-03,69980.44706906156,33044.76710601087,36935.67996305069,-0.0019473149055581607,-136.53985376765195,-0.3001955293093844,-30019.552930938444,7
2014-02-04,70107.82770244204,44588.57841875316,25519.249283688878,0.0018202317749524276,127.38063338048232,-0.2989217229755796,-29892.17229755796,6
2014-02-05,70226.79691045693,41756.8534429577,28469.943467499237,0.001696946145868846,118.96920801489614,-0.29773203089543065,-29773.203089543065,6
2014-02-06,70200.82040262385,57810.37560156074,12390.44480106311,-0.00036989452710200474,-25.976507833081996,-0.29799179597376146,-29799.179597376147,3
2014-02-07,70393.49311871089,62178.572471757325,8214.920646953564,0.0027445935101897264,192.67271608703595,-0.29606506881289113,-29606.50688128911,2
2014-02-10,70382.94885670987,52956.13071978852,17426.818136921356,-0.0001497902935891062,-10.544262001014431,-0.29617051143290124,-29617.051143290126,5
2014-02-11,70385.16199277081,55547.969844694715,14837.192148076094,3.1444207679338285e-05,2.2131360609346302,-0.29614838007229194,-29614.83800722919,5
2014-02-12,70383.30170000886,56531.86792544711,13851.433774561745,-2.643018371033192e-05,-1.8602927619504044,-0.2961669829999114,-29616.69829999114,5
2014-02-13,70421.1041229479,39738.6290565795,30682.475066368403,0.0005370936291134275,37.802422939043026,-0.29578895877052097,-29578.8958770521,7
2014-02-14,70664.12314268887,41557.570820215304,29106.552322473566,0.003450940208444936,243.01901974096836,-0.29335876857311133,-29335.87685731113,6
2014-02-18,70893.48003541041,41805.885176881515,29087.594858528893,0.003245733230969389,229.35689272153832,-0.29106519964589594,-29106.519964589592,7
2014-02-19,70853.09117585415,53734.98434776779,17118.106828086355,-0.0005697119049041824,-40.388859556260286,-0.2914690882414585,-29146.908824145852,4
2014-02-20,70841.68414949297,52791.223028202185,18050.461121290784,-0.00016099546500896602,-11.407026361179305,-0.29158315850507033,-29158.31585050703,5
2014-02-21,70772.64784082779,33709.01216658628,37063.63567424151,-0.0009745153505878628,-69.03630866517778,-0.2922735215917221,-29227.35215917221,6
2014-02-24,71043.28485231416,36303.11855953251,34740.16629278165,0.0038240339982057404,270.63701148636756,-0.2895671514768584,-28956.71514768584,7
2014-02-25,71155.82786642833,36566.97994055753,34588.847925870796,0.001584147106206107,112.54301411416964,-0.2884417213357167,-28844.172133571672,7
2014-02-26,71067.53916761503,54181.89186138969,16885.647306225343,-0.0012407795884130381,-88.28869881329592,-0.28932460832384965,-28932.460832384968,5
2014-02-27,71171.66245676478,45044.54516888643,26127.117287878355,0.0014651314843499965,104.12328914974933,-0.28828337543235216,-28828.33754323522,7
2014-02-28,71489.64477717399,53173.99778526202,18315.64699191197,0.0044678220155722394,317.98232040920993,-0.28510355222826006,-28510.35522282601,4
2014-03-03,71618.11090532865,49502.43825776318,22115.672647565472,0.001796989319992759,128.46612815465778,-0.28381889094671353,-28381.88909467135,5
2014-03-04,71760.68313702253,59381.96529588614,12378.717841136386,0.001990728740141474,142.57223169387726,-0.28239316862977476,-28239.316862977474,4
2014-03-05,71705.33712898799,43682.891378979475,28022.445750008512,-0.0007712580986563308,-55.34600803453941,-0.2829466287101201,-28294.662871012013,5
2014-03-06,71980.01118074331,46477.49321940595,25502.517961337362,0.003830594245184645,274.6740517553262,-0.28019988819256686,-28019.988819256687,5
2014-03-07,72110.89173787575,50477.62421651301,21633.267521362737,0.0018182903140121767,130.88055713243375,-0.2788910826212425,-27889.108262124253,3
2014-03-10,72111.65878494848,62744.35430878368,9367.304476164798,1.0637048776485602e-05,0.767047072731657,-0.2788834121505152,-27888.34121505152,2
2014-03-11,72104.46698726484,64894.020288538355,7210.446698726482,-9.973141382156512e-05,-7.191797683641198,-0.27895533012735163,-27895.533012735163,1
2014-03-12,72079.89987755878,63769.08742167625,8310.81245588253,-0.0003407155025553961,-24.567109706054907,-0.27920100122441216,-27920.100122441218,2
2014-03-13,72228.3077053372,62528.045980510426,9700.26172482677,0.0020589349878469905,148.40782777841378,-0.27771692294662803,-27771.692294662804,2
2014-03-14,72210.36922807504,61573.78184077959,10636.587387295447,-0.0002483579891603988,-17.938477262156084,-0.2778963077192496,-27789.63077192496,3
2014-03-17,72414.59642167008,65173.13677950306,7241.459642167021,0.002828225305842068,204.22719359504117,-0.2758540357832992,-27585.40357832992,1
2014-03-18,72464.61869469601,65218.156825226404,7246.461869469604,0.0006907761072732759,50.02227302592655,-0.2753538130530399,-27535.381305303992,1
2014-03-19,72931.04753576961,65637.94278219265,7293.104753576961,0.006436642453591553,466.4288410736044,-0.2706895246423039,-27068.952464230388,1
